SkyTemple ID,Friendly Name,Status,Notes
S01P01A,World Map,Not Started,
S01P01B,Dark Future Map,Not Started,
S01P02A,Pelliper Island (Bottom Screen),Not Started,
S01P04A,Pelliper Island (Top Screen),Not Started,
S02P01A,Personality Test,Not Started,
S03P01A,Aura Analysis 1,Not Started,
S03P02A,Aura Analysis 2,Not Started,
S05P01A,Developer Logos,Not Started,
S05P02C,PMD Logo (static),Not Started,
S05P03A,Dark Cave Dead End,Not Started,
S05P04A,Time Gear Visual 1,Not Started,
S08P01A,Sentry Duty UI,Not Started,
S11P01A,Brine Cave Relic Fragment Pattern,Not Started,
S11P02C,Post-Beach Cave Title Drop,Not Started,
S13P01A,PMD Logo (animated),Not Started,
S13P02A,Opening Cutscene 1,Not Started,
S13P03A,Opening Cutscene 2,Not Started,
S13P04A,Opening Cutscene 3,Not Started,
S13P04B,Opening Cutscene 4,Not Started,
S13P05A,Time Gear Visual 2,Not Started,
S13P06A,Opening Cutscene 5,Not Started,
S13P07A,Opening Cutscene 6,Not Started,
S13P08A,Opening Cutscene 7,Not Started,
S13P09A,Opening Cutscene 8,Not Started,
S14P01A,Recycle Shop Logo,Not Started,
S15P01A,Igglybuff Special Episode Map,Not Started,
S15P02A,Main Campaign Map 1,Not Started,
S15P03A,Main Campaign Map 2,Not Started,
S15P04A,Main Campaign Map 3,Not Started,
S15P05A,Grovyle Special Episode Map,Not Started,
S17P01A,Aura Analysis 3,Not Started,
S17P02A,Yellow with White Circle,Not Started,
S20P01A,Pink with Hearts,Not Started,
S21P01A,Dimensional Scream,Not Started,
S99P01A,Seizure Warning,Not Started,
S99P02A,ESRB Rating,Not Started,
S99P03A,Touch Here To Start (Rainbow Stoneship),Not Started,
T00P01,Rescue Team – Pokemon Square,Not Started,
T00P02,Treasure Town East,COMPLETE,Combined with other half into one map. Sourced from the remake.
T00P03,Treasure Town West,COMPLETE,Combined with other half into one map. Sourced from the remake.
T00P04A,Wigglytuff’s Guild Exterior (Day),COMPLETE,Sourced from the remake.
T01P03A,Marowak Dojo Lobby (Wall Intact),Needs Fixes,Sourced from the remake. Animation of torches is running too slow
T01P03A2,Marowak Dojo Lobby (Wall Destroyed),Needs Fixes,Sourced from the remake. Animation of torches is running too slow
T01P04A,Marowak Dojo Cavern,Not Started,
D00P01,Test Dungeon,Not Started,
D01P11A,Beach (Day),COMPLETE,Sourced from the remake.
D01P11B,Beach (Sunset),COMPLETE,Sourced from the remake.
D01P41A,Beach Cave Pit,COMPLETE,Sourced from the remake.
D02P11A,Drenched Bluff Entrance,COMPLETE,
D02P31A,Drenched Bluff End,COMPLETE,
D03P11A,Mt Bristle Entrance,COMPLETE,
D03P41A,Mt Bristle Peak,COMPLETE,Animation frames on water not divisible by each other. Needs a manual rebuild.
D04P11A,Waterfall Cave Outside,COMPLETE,
D04P12A,Waterfall Cave Entrance,COMPLETE,
D04P31A,Waterfall Cave End,Needs Attention,"Skytemple export is a massive gif, probably needs a manual rebuild"
D05P11A,Apple Woods Entrance,COMPLETE,
D05P31A,Apple Woods End,COMPLETE,
D06P11A,Craggy Coast Entrance,Needs Attention,Animation frames on water not divisible by each other. Needs a manual rebuild.
D07P11A,Mt Horn Entrance,COMPLETE,
D08P11A,Foggy Forest Entrance,COMPLETE,
D09P11A,Steam Cave Entrance,COMPLETE,
D10P41A,Groudon Boss Arena,COMPLETE,
D11P11A,Amp Plains Entrance,COMPLETE,
D12P41A,Far Amp Plains End,COMPLETE,
D13P11A,Northern Desert Entrance,COMPLETE,
D14P11A,Quicksand Cave Outside,COMPLETE,
D14P12A,Quicksand Cave Entrance,COMPLETE,
D15P41A,Mesprit Boss Arena,Needs Work,"GIF export is massive, needs manual rebuild"
D16P11A,Crystal Cave Entrance,COMPLETE,
D16P31A,Crystal Cave Puzzle (Unsolved),Needs Work,Missing the puzzle crystals
D17P11A,Crystal Crossing Entrance,COMPLETE,
D17P31A,Crystal Lake 1,COMPLETE,
D17P32A,Crystal Lake 2,COMPLETE,
D17P33A,Crystal Lake 3,COMPLETE,
